id,genre,class,num_class,popularity,duration,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
6hLZzCS4E7AWo3PRBWy6az,detroit trap,rap,0,68,153750,0.926,0.762,0.0,0.117,-1.887,1.0,0.205,127.931,0.277
4lsHZ92XCFOQfzJFBTluk8,pop r&b,pop,1,83,203144,0.762,0.433,0.0,0.118,-8.937,1.0,0.187,122.074,0.394
7IECs9d4Rrlpa7tiHOCE1w,baton rouge rap,rap,0,72,192000,0.778,0.662,0.0,0.116,-6.081,0.0,0.308,149.935,0.571
1SF8piqsZWn86DajVKih8F,baton rouge rap,rap,0,76,151248,0.877,0.607,0.0,0.138,-7.818,0.0,0.15,127.055,0.773
1jWHtG4UXwH7JkEGY559Pa,baton rouge rap,rap,0,67,164649,0.819,0.738,0.0,0.117,-5.159,0.0,0.186,139.957,0.676
7CdoE8U5DwrwCaLoyf3ME0,baton rouge rap,rap,0,69,156662,0.511,0.654,0.0,0.316,-6.133,1.0,0.314,154.868,0.279
16oNc3gAxjqO7ifVoEYqCR,baton rouge rap,rap,0,60,168045,0.714,0.722,0.0,0.114,-5.685,1.0,0.0538,143.019,0.439
17BBRv0iYOVlcbMjJUSfBO,baton rouge rap,rap,0,59,156130,0.592,0.691,0.0,0.217,-6.325,1.0,0.204,159.708,0.815
6FiySur7YZL0Kff2YVGsEB,baton rouge rap,rap,0,63,159085,0.725,0.79,0.0,0.195,-4.773,0.0,0.327,157.99,0.815
0nEWVyeYLtIi3JUHpASGiU,baton rouge rap,rap,0,58,169952,0.614,0.789,0.0,0.396,-4.859,1.0,0.541,106.704,0.349
1qNEYOlDVjTWoINqQ5lQMR,baton rouge rap,rap,0,59,146094,0.729,0.6,0.0,0.0989,-6.522,1.0,0.358,82.463,0.287
6cF39bo8KFmLbsSdP0qoJa,melodic rap,rap,0,56,185113,0.557,0.614,0.0,0.173,-8.479,0.0,0.25,83.743,0.854
6sk8haR99TFmwp9S5U7fac,baton rouge rap,rap,0,63,209528,0.524,0.832,0.0,0.632,-4.351,1.0,0.471,111.142,0.761
4PlwZcXyJwoYPgafhglDgq,melodic rap,rap,0,18,98449,0.896,0.441,0.0,0.0679,-12.142,0.0,0.317,109.975,0.628
0IUW6b1taJKyKt6hyagmTG,baton rouge rap,rap,0,62,143044,0.848,0.617,0.0,0.0751,-5.484,0.0,0.294,160.917,0.713
3StBhEiBdQICzrGiaajy2M,baton rouge rap,rap,0,58,158824,0.677,0.717,0.0,0.151,-6.056,0.0,0.239,144.872,0.632
1fah1uAs7HeTYDlNftKr3K,bedroom pop,pop,1,16,210463,0.399,0.492,0.00101,0.11,-10.777,0.0,0.0538,91.066,0.159
2crr8fnMCNKxypSNuHi5Jq,baton rouge rap,rap,0,63,132771,0.773,0.733,0.0,0.718,-4.869,1.0,0.321,83.712,0.612
73pf02Dw1VhhS4f6pB8xBF,baton rouge rap,rap,0,56,184285,0.617,0.785,0.0,0.231,-7.495,1.0,0.413,81.348,0.613
4Boj4bBiDv6Ur1zKEvLXBI,baton rouge rap,rap,0,66,168280,0.725,0.583,0.0,0.102,-8.562,1.0,0.345,159.989,0.257
7xqpOUezLTYW1zMNFqnBZs,baton rouge rap,rap,0,58,203225,0.759,0.701,0.0,0.0976,-4.861,0.0,0.182,123.933,0.717
6fMzgFFGzWCwiHMzDzNpp5,viral rap,rap,0,68,159955,0.839,0.683,0.0,0.241,-9.232,0.0,0.165,120.003,0.522
6AGOKlMZWLCaEJGnaROtF9,bedroom pop,pop,1,88,210463,0.399,0.491,0.00089,0.11,-10.778,0.0,0.0538,91.066,0.151
7B3z0ySL9Rr0XvZEAjWZzM,bedroom pop,pop,1,86,188386,0.744,0.619,0.00372,0.231,-9.805,1.0,0.039,112.997,0.641
5u1n1kITHCxxp8twBcZxWy,canadian pop,pop,1,88,212093,0.673,0.704,0.0,0.0898,-8.056,1.0,0.36,86.919,0.372
7hxHWCCAIIxFLCzvDgnQHX,pop rap,pop,1,87,195428,0.8,0.658,0.0,0.111,-6.142,0.0,0.079,140.042,0.462
5hvwx5i67IwnCkjl9VHkNv,dance pop,pop,1,82,213869,0.653,0.667,0.0,0.107,-6.764,0.0,0.0423,104.181,0.556
77Xwqkw7VrV8E5FCq9JhO8,melodic rap,rap,0,68,179813,0.664,0.586,0.0,0.216,-7.813,0.0,0.238,88.502,0.589
7dH9TPjTWQ60wOJkmYay8a,pop rap,pop,1,72,174729,0.761,0.517,0.0,0.157,-6.916,1.0,0.0927,147.912,0.46
5kTn07V96U8LyoQgz6DZzX,melodic rap,rap,0,71,193013,0.514,0.634,0.0,0.13,-6.514,1.0,0.383,76.181,0.308
5VlTQnZO89Ioku8ssdbqJk,dmv rap,rap,0,84,247079,0.505,0.267,0.0,0.096,-13.763,0.0,0.05,143.929,0.439
2WxUIiq06XXPYWl9YcRJnD,melodic rap,rap,0,70,98413,0.895,0.439,0.0,0.0683,-12.142,0.0,0.319,109.988,0.633
